SPN, Value Date, Formula, Base Rate, Rate, IBB Type, IBB, Accrued Interest, Version, Call Type
31031AC,12-21-2013,A,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31061ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31065ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31109AC,12-21-2013,D,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31159AC,12-21-2013,E,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31161ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31208ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31223ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31225ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31230ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31234ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31235ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31236ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31238ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31239ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31251ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31252ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31453ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31456AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31462ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31468ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31502ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31552ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31554ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31563ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31564ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31589ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31593ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31626ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31627ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31644ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31646ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31685ACN,12-21-2013,C,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31686ACN,12-21-2013,D,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31700ACN,12-21-2013,E,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31702ACN,12-21-2013,F,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31704ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31721AC,12-21-2013,B,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31725AC,12-21-2013,C,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31727AC,12-21-2013,D,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31729ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31733AC,12-21-2013,F,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31736ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31741AC,12-21-2013,B,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31743AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31752AC,12-21-2013,D,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31754AC,12-21-2013,E,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31756AC,12-21-2013,F,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31763AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31764AC,12-21-2013,B,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31766AC,12-21-2013,C,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31767AC,12-21-2013,D,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31769AC,12-21-2013,E,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31770AC,12-21-2013,F,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31771AC,12-21-2013,A,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31772AC,12-21-2013,B,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31773AC,12-21-2013,C,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31805AC,12-21-2013,D,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31806AC,12-21-2013,E,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31824AC,12-21-2013,F,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31834AC,12-21-2013,A,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31838AC,12-21-2013,B,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31839AC,12-21-2013,C,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31862AC,12-21-2013,D,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31887AC,12-21-2013,E,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31894AC,12-21-2013,F,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31904ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31907AC,12-21-2013,B,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31908AC,12-21-2013,C,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31912AC,12-21-2013,D,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31913AC,12-21-2013,E,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31914AC,12-21-2013,F,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31915AC,12-21-2013,A,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31916AC,12-21-2013,B,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31919AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31930AC,12-21-2013,D,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31931AC,12-21-2013,E,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31932AC,12-21-2013,F,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31933AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31934AC,12-21-2013,B,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31945AC,12-21-2013,C,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31959ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
31962ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32004ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32041ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32055ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32062ACA,12-21-2013,C,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32063ACA,12-21-2013,D,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32065ACA,12-21-2013,E,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32066ACA,12-21-2013,F,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32071ACA,12-21-2013,A,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32072ACA,12-21-2013,B,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32073ACA,12-21-2013,C,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32074ACA,12-21-2013,D,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32077ACA,12-21-2013,E,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32086ACA,12-21-2013,F,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32087ACA,12-21-2013,A,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32094ACA,12-21-2013,B,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32099ACA,12-21-2013,C,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32104ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32105ACA,12-21-2013,E,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32225AC,12-21-2013,F,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32235ACA,12-21-2013,A,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32249AC,12-21-2013,B,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32250AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32258ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32301ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32303ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32312AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
3233DAC,12-21-2013,B,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32378ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32379ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32389ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32520ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32525AC,12-21-2013,A,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32526AC,12-21-2013,B,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32529AC,12-21-2013,C,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32538AC,12-21-2013,D,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32542AC,12-21-2013,E,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32543AC,12-21-2013,F,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32545AC,12-21-2013,A,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32547AC,12-21-2013,B,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32582AC,12-21-2013,C,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32628AC,12-21-2013,D,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32630ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32637ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32654ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32655ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32656ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32657ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32661ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32671ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32686ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32687ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32688ACA,12-21-2013,C,1.25,1.0, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32693ACA,12-21-2013,D,1.25,1.15, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
32695AC,12-21-2013,E,1.25,1.05, ,0.0,0.0,a6c47e74d5f0eb1a6f9713b417291048da50c094,*ALL
